Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,Gare Saint-Lazare - Isly,8009,"[48.874777677621296, 2.326515804784655]",Paris,226,811,1691,4002
2022-11-15 20:02:48,Quai de l'Horloge - Pont Neuf,1001,"[48.857058739111096, 2.341798283943937]",Paris,299,988,2078,4996
2022-11-15 20:02:48,Gare Rosny-Bois-Perrier,31103,"[48.88115023337061, 2.480436824262142]",Rosny-sous-Bois,236,741,1590,3746
2022-11-15 20:02:48,Institut de France,6001,"[48.85761567856468, 2.335831353037739]",Paris,298,988,2077,4896
2022-11-15 20:02:48,Porte Pouchet-Bessières,17008,"[48.8978765, 2.3230632]",Paris,154,546,1179,2813
2022-11-15 20:02:48,Institut du Monde Arabe - Saint-Germain,5020,"[48.849063299501, 2.3558086529374]",Paris,324,1078,2272,5396
2022-11-15 20:02:48,Thionville - Ourcq,19015,"[48.88917613743794, 2.3833653330802917]",Paris,206,641,1381,3324
2022-11-15 20:02:48,Legendre - Clichy,17004,"[48.88896161855884, 2.322528975094376]",Paris,202,634,1370,3308
2022-11-15 20:02:48,Quai de la Seine,19003,"[48.884492238407525, 2.3703941702842717]",Paris,205,684,1443,3519
2022-11-15 20:02:48,Chartres - La Charbonnière,18107,"[48.8847601, 2.3534657]",Paris,204,682,1440,3514
2022-11-15 20:02:48,Pesaro - Préfecture,92007,"[48.89577046284005, 2.223908342421055]",Nanterre,171,578,1226,2886
2022-11-15 20:02:48,Moncey - Blanche,9028,"[48.88006587474148, 2.3310810327529907]",Paris,226,723,1564,3706
2022-11-15 20:02:48,Gare du Nord - Hôpital Lariboisière,10107,"[48.881949, 2.352339]",Paris,204,726,1504,3613
2022-11-15 20:02:48,Belidor - Gouvion-Saint-Cyr,17043,"[48.88022154052015, 2.2854680567979813]",Paris,223,718,1556,3694
2022-11-15 20:02:48,Place de Rhin et Danube,19026,"[48.88192765861766, 2.392586767673493]",Paris,206,730,1510,3624
2022-11-15 20:02:48,Exelmans - Versailles,16039,"[48.84097491091973, 2.264390252530575]",Paris,342,1155,2384,5768
2022-11-15 20:02:48,Saint-Maur - Roquette,11023,"[48.858688774062955, 2.383553994571467]",Paris,278,949,2021,4908
2022-11-15 20:02:48,Amelot - Saint-Sébastien,11047,"[48.86114216276092, 2.367799618107727]",Paris,277,947,1954,4706
2022-11-15 20:02:48,Claude Decaen - Cannebière,12111,"[48.83761417037952, 2.397253782195704]",Paris,350,1171,2471,6001
2022-11-15 20:02:48,Berri - Haussmann,8034,"[48.874746047357135, 2.3082953318953514]",Paris,225,808,1688,3997
2022-11-15 20:02:48,Panthéon - Valette,5032,"[48.84702057165222, 2.3464982619671075]",Paris,323,1077,2271,5493
2022-11-15 20:02:48,Gare RER - Canadiens,43401,"[48.81995307955795, 2.464176752459464]",Joinville-le-Pont,403,1355,2931,6910
2022-11-15 20:02:48,Redoute - Les Courtilles,26002,"[48.92986719451888, 2.283669635653496]",Asnières-sur-Seine,55,233,468,1120
2022-11-15 20:02:48,Saint-Ambroise - Parmentier,11027,"[48.862147844548, 2.3772348091006]",Paris,277,948,1956,4709
2022-11-15 20:02:48,Pyramide - Ecole du Breuil,12128,"[48.82237977153955, 2.4586871266365056]",Paris,402,1354,2866,6809
2022-11-15 20:02:48,Liège - Moscou,8010,"[48.8795431, 2.3264628]",Paris,226,722,1563,3804
2022-11-15 20:02:48,Mairie de Montreuil,31022,"[48.86131452758348, 2.440614402294159]",Montreuil,281,956,1967,4726
2022-11-15 20:02:48,Rouget de Lisle,46002,"[48.764615483395254, 2.4071189761161804]",Choisy-le-Roi,567,1920,4073,9766
2022-11-15 20:02:48,Cimetière de Montmartre,18003,"[48.886472466141925, 2.3328901827335358]",Paris,202,679,1436,3410
2022-11-15 20:02:48,Richard Lenoir - Republique,11113,"[48.8667175, 2.3692541]",Paris,253,860,1890,4410
